Location_ID,State,National Remoteness Areas
1,NSW,Inner Regional Australia
2,Tas,Inner Regional Australia
3,NSW,Outer Regional Australia
4,Vic,Unknown
5,Qld,Inner Regional Australia
6,SA,Outer Regional Australia
7,WA,Unknown
8,Tas,Outer Regional Australia
9,NSW,Major Cities of Australia
10,Qld,Outer Regional Australia
11,ACT,Major Cities of Australia
12,NT,Unknown
13,Vic,Inner Regional Australia
14,SA,Inner Regional Australia
15,Qld,Major Cities of Australia
16,SA,Very Remote Australia
17,Qld,Remote Australia
18,Vic,Major Cities of Australia
19,Qld,Very Remote Australia
20,SA,Remote Australia
21,SA,Major Cities of Australia
22,Vic,Outer Regional Australia
23,ACT,Unknown
24,NSW,Very Remote Australia
25,NSW,Remote Australia
26,Tas,Very Remote Australia
27,NT,Very Remote Australia
28,NT,Outer Regional Australia
29,Vic,Remote Australia
30,ACT,Inner Regional Australia
31,WA,Major Cities of Australia
32,Tas,Remote Australia
33,WA,Inner Regional Australia
34,WA,Outer Regional Australia
35,WA,Remote Australia
36,WA,Very Remote Australia
37,NT,Remote Australia
38,Tas,Unknown
39,Qld,Unknown
40,NSW,Unknown
41,SA,Unknown
